filename,Latitude,Longitude,Depth,sample_type,Cruise,Instrument,tag1,tag2,tag3
D20240403T053641_IFCB206,36.429,-74.811,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240403T060036_IFCB206,36.364,-74.854,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240403T062431_IFCB206,36.3,-74.895,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240403T064825_IFCB206,36.239,-74.934,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240403T071221_IFCB206,36.178,-74.973,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240403T073616_IFCB206,36.119,-75.012,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240403T080010_IFCB206,36.061,-75.049,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240403T082404_IFCB206,36.003,-75.087,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240403T084758_IFCB206,35.952,-75.123,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240403T091153_IFCB206,35.95,-75.124,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240403T093547_IFCB206,35.95,-75.124,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240403T095941_IFCB206,35.95,-75.124,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240403T102335_IFCB206,35.951,-75.122,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240403T104730_IFCB206,35.951,-75.122,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240403T111124_IFCB206,35.952,-75.12,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240403T113518_IFCB206,35.968,-75.108,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240403T115914_IFCB206,35.97,-75.11,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240403T122308_IFCB206,35.97,-75.11,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240403T124702_IFCB206,35.967,-75.112,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240403T131056_IFCB206,35.962,-75.114,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240403T133450_IFCB206,35.956,-75.117,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240403T135846_IFCB206,35.949,-75.12,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240403T142240_IFCB206,35.95,-75.126,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240403T213415_IFCB206,35.954,-75.121,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
