Filename,FileComment,triggerCount,roiCount,runTime,inhibitTime,SyringeSampleVolume,syringeSamplingSpeed,temperature,RunFastFactor,sampleNumber,runSampleFast,Datetime,lookTime,get_runSampleFast_Int,runSampleFast_Int,flowRate_mins,volumeAnalyzed
D20240417T235303_IFCB206,ar82b_underway,3862,3111,1200.9083333333333,323.2690625,5,20,18.438474860761424,5,20,False,2024-04-17 23:53:00,877.6392708333333,1,1,0.25,3.6568302951388887
D20240418T001657_IFCB206,ar82b_underway,3924,3188,1200.939722222222,327.2651041666667,5,20,18.450117494468607,5,21,False,2024-04-18 00:16:05,873.6746180555552,1,1,0.25,3.640310908564813
D20240418T004051_IFCB206,ar82b_underway,3861,3087,1201.8001388888888,322.3975,5,20,18.450117494468607,5,22,False,2024-04-18 00:40:05,879.4026388888888,1,1,0.25,3.6641776620370363
D20240418T010445_IFCB206,ar82b_underway,3920,3095,1201.0505555555555,327.0980555555556,5,20,18.450117494468607,5,23,False,2024-04-18 01:04:04,873.9524999999999,1,1,0.25,3.64146875
D20240418T012840_IFCB206,ar82b_underway,3890,3155,1201.4629166666666,325.7810763888889,5,20,18.450117494468607,5,24,False,2024-04-18 01:28:04,875.6818402777777,1,1,0.25,3.648674334490741
D20240418T015234_IFCB206,ar82b_underway,3839,3095,1201.118333333333,321.6645833333333,5,20,18.343670557717253,5,25,False,2024-04-18 01:52:03,879.4537499999998,1,1,0.25,3.6643906249999985
D20240418T021628_IFCB206,ar82b_underway,3786,2996,1200.9893055555556,316.1384375,5,20,18.343670557717253,5,26,False,2024-04-18 02:16:02,884.8508680555556,1,1,0.25,3.6868786168981478
D20240418T024509_IFCB206,ar82b_underway,4687,3710,1201.615972222222,391.45125,5,20,18.343670557717253,5,28,False,2024-04-18 02:45:00,810.1647222222218,1,1,0.25,3.3756863425925916
D20240418T030904_IFCB206,ar82b_underway,3875,3096,1201.595972222222,324.14732638888887,5,20,18.343670557717253,5,29,False,2024-04-18 03:09:00,877.4486458333331,1,1,0.25,3.6560360243055547
D20240418T033258_IFCB206,ar82b_underway,3786,3039,1200.9002777777778,316.4607291666667,5,20,18.33535439078355,5,30,False,2024-04-18 03:32:05,884.4395486111111,1,1,0.25,3.6851647858796297
