Filename,FileComment,triggerCount,roiCount,runTime,inhibitTime,SyringeSampleVolume,syringeSamplingSpeed,temperature,RunFastFactor,sampleNumber,runSampleFast
D20240420T222903_IFCB206,ar82a_underway ,3227,3164,1200.933611111111,269.1350347222222,5,20,11.745623712520029,5,51,False
D20240420T222903_IFCB206,ar82a_underway ,3487,3423,1200.9377777777777,290.79868055555556,5,20,11.852070649271383,5,52,False
D20240420T222903_IFCB206,ar82a_underway ,2965,2897,1200.9263888888888,247.30835069444444,5,20,11.958517586022737,5,1,False
D20240420T222903_IFCB206,ar82a_underway ,3180,3100,1200.9075,265.9755729166667,5,20,12.06496452277409,5,2,False
D20240420T222903_IFCB206,ar82a_underway ,2713,2669,1200.9069444444444,225.5454513888889,5,20,12.277858396276798,5,3,False
D20240420T222903_IFCB206,ar82a_underway ,3058,2983,1200.8484722222222,254.26989583333332,5,20,12.384305333028152,5,4,False
D20240420T222903_IFCB206,ar82a_underway ,2286,2212,1202.065138888889,190.7373611111111,5,20,12.382642099641416,5,5,False
D20240420T222903_IFCB206,ar82a_underway ,2697,2629,1201.0816666666667,224.21625,5,20,12.384305333028152,5,6,False
D20240420T222903_IFCB206,ar82a_underway ,3753,3658,1201.42625,312.76881944444443,5,20,12.169748226138708,5,7,False
D20240420T222903_IFCB206,ar82a_underway ,3999,3898,1201.1394444444445,335.8645486111111,5,20,11.956854352636,5,8,False
D20240420T222903_IFCB206,ar82a_underway ,3448,3361,1201.4066666666668,288.21482638888887,5,20,11.956854352636,5,9,False
D20240420T222903_IFCB206,ar82a_underway ,3322,3238,1200.9180555555556,278.2148784722222,5,20,11.956854352636,5,10,False
D20240420T222903_IFCB206,ar82a_underway ,2840,2797,1200.9980555555555,237.10111111111112,5,20,11.958517586022737,5,11,False
D20240420T222903_IFCB206,ar82a_underway ,2656,2599,1200.9329166666666,222.94838541666667,5,20,12.171411459525444,5,12,False
D20240420T222903_IFCB206,ar82a_underway ,2459,2425,1200.9277777777777,204.7771875,5,20,12.382642099641416,5,13,False
D20240420T222903_IFCB206,ar82a_underway ,2354,2319,1201.9556944444444,198.60182291666666,5,20,12.384305333028152,5,14,False
D20240420T222903_IFCB206,ar82a_underway ,2465,2426,1201.3970833333333,205.01604166666667,5,20,12.490752269779506,5,15,False
D20240420T222903_IFCB206,ar82a_underway ,2263,2239,1200.9283333333333,188.8634201388889,5,20,12.48908903639277,5,16,False
D20240420T222903_IFCB206,ar82a_underway ,2256,2220,1201.005,188.2159201388889,5,20,12.490752269779506,5,17,False
D20240420T222903_IFCB206,ar82a_underway ,2651,2619,1201.0775,220.63821180555556,5,20,12.810093080033568,5,18,False
D20240420T222903_IFCB206,ar82a_underway ,2608,2562,1200.9579166666667,217.55909722222222,5,20,13.127770656900907,5,19,False
D20240420T222903_IFCB206,ar82a_underway ,3138,3101,1201.4284722222221,262.7651388888889,5,20,13.127770656900907,5,20,False
D20240420T222903_IFCB206,ar82a_underway ,3157,3106,1200.8783333333333,262.4791319444444,5,20,13.127770656900907,5,21,False
D20240420T222903_IFCB206,ar82a_underway ,3091,3037,1200.76375,258.24921875,5,20,13.129433890287643,5,22,False
D20240420T222903_IFCB206,ar82a_underway ,3031,2971,1201.0030555555556,252.60458333333332,5,20,13.235880827038997,5,23,False
D20240420T222903_IFCB206,ar82a_underway ,3059,2923,1201.0397222222223,255.00586805555557,5,20,13.448774700541705,5,24,False
D20240420T222903_IFCB206,ar82a_underway ,2969,2908,1201.3019444444444,247.61322916666666,5,20,13.448774700541705,5,25,False
D20240420T222903_IFCB206,ar82a_underway ,2911,2856,1201.0208333333333,242.09855902777778,5,20,13.448774700541705,5,26,False
D20240420T222903_IFCB206,ar82a_underway ,3059,2982,1200.8026388888889,254.4520486111111,5,20,13.768115510795766,5,27,False
D20240420T222903_IFCB206,ar82a_underway ,5264,5102,1200.9181944444445,438.35864583333336,5,20,14.087456321049828,5,28,False
D20240420T222903_IFCB206,ar82a_underway ,4003,3909,1200.9679166666667,334.743125,5,20,13.979346150911738,5,29,False
D20240420T222903_IFCB206,ar82a_underway ,3686,3598,1200.9304166666666,307.80597222222224,5,20,15.79060730907149,5,30,False
D20240420T222903_IFCB206,ar82a_underway ,2897,2798,1200.9693055555556,240.81083333333333,5,20,17.174417486839104,5,31,False
